ROW_TYPE,ROW_ID,ARTIFACT,DECISION_OR_CITATION,VALUE,UNITS,CLASSIFICATION,SOURCE_IDS,LOCATOR,SENSITIVITY_REQUIRED,VERIFICATION_STATUS,NOTES
DECISION,PT-03,PLANT_TOPOLOGY_AUTHORITY,Joint topology and generalized dimensions.,"{""joints"": {""root_tx"": 1, ""root_tz"": 1, ""root_ry"": 1, ""trunk_pelvis_sagittal_hinge"": 1, ""hips"": 2, ""knees"": 2, ""ankles"": 2, ""mtp"": 2}, ""NQ"": 12, ""NV"": 12}",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,—,planar root + trunk-pelvis hinge + bilateral lower limb chain,—,RECOMPUTED_FROM_INPUTS,3 root + 1 trunk + 2*4 limb DOF = 12.
DECISION,PT-04,PLANT_TOPOLOGY_AUTHORITY,Actuator channel topology.,"{""channels"": [""trunk_pelvis_hinge"", ""left_hip"", ""right_hip"", ""left_knee"", ""right_knee"", ""left_ankle"", ""right_ankle"", ""left_mtp"", ""right_mtp""], ""NU"": 9}",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S08;S09,9 physical net-moment channels incl. bilateral MTP,final torque/rate/power limits owned by RES-85,RECOMPUTED_FROM_INPUTS,The superseded 7-channel V2 topology is not successor authority.
DECISION,PT-05,PLANT_TOPOLOGY_AUTHORITY,Planar-root consequence and nominal symmetry.,"because lateral translation, roll and yaw are absent, V1 nominal sagittal actions must be bilaterally symmetric to numerical tolerance",—,PHYSICS_IDENTITY,—,system authority section 7,bilateral tolerance declared and audited,RECOMPUTED_FROM_INPUTS,Materially asymmetric corrective control requires a future true 3-D/6-DOF Plant.
DECISION,PT-06,PLANT_TOPOLOGY_AUTHORITY,Out-of-plane reaction audit (V1 fail-closed rule).,"qualification must audit out-of-plane contact/reaction quantities (Fy, roll/yaw moments where available) and demonstrate they are negligible; if omitted DOFs materially support the trajectory, V1 fails",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,—,mission freeze item 7; system authority section 7,mandatory audit in every qualification report,RECOMPUTED_FROM_INPUTS,"External reaction quantities are evidence, never a control channel."
DECISION,PT-07,PLANT_TOPOLOGY_AUTHORITY,Passive mechanics defaults.,"hip/knee/ankle/trunk-pelvis passive stiffness and damping default to 0 at Plant authority level; root passives exactly 0; any numerical damping needed for stability is declared, justified, sensitivity-tested and classified as numerical regularization",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S22,system authority section 15,any non-zero value requires a declared justification,RECOMPUTED_FROM_INPUTS,R001 major-joint passive stiffness/damping may not be carried forward as human physiology.
DECISION,PT-08,PLANT_TOPOLOGY_AUTHORITY,Body inertial provenance (summary table).,"{""pelvis"": ""AB-08"", ""HAT"": ""UB-03..UB-06"", ""bar"": ""LB-07..LB-08"", ""thigh"": ""AB-14"", ""shank"": ""AB-14"", ""hindfoot/forefoot/toe"": ""FM-04, FM-07, FM-08""}",—,LITERATURE_DIRECT,S01;S02;S04,per-body authority mapping,—,RECOMPUTED_FROM_INPUTS,No body inertia value may live only in implementation code.
DECISION,PT-09,PLANT_TOPOLOGY_AUTHORITY,No candidate creation in RES-95.,RES-95 freezes model authority only; candidate authorization remains RES-90,—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,—,mission freeze item; Linear RES-90 boundary,—,RECOMPUTED_FROM_INPUTS,No successor candidate ID is created here.
DECISION,EM-01,EVENT_MEASUREMENT_BOUNDARY,Primary COM signal.,SYSTEM_COM (athlete + rigid 20 kg bar) = primary mechanics authority; ATHLETE_COM = secondary report/comparability signal,—,PHYSICS_IDENTITY,—,carried-bar closure,—,RECOMPUTED_FROM_INPUTS,All event predicates use SYSTEM_COM.
DECISION,EM-02,EVENT_MEASUREMENT_BOUNDARY,Primary takeoff time.,"TAKEOFF_OCCURRENCE = the final transition from at least one active legal plantar support contact to zero active legal plantar support contacts, with interpolated/contact-event time if available",—,PHYSICS_IDENTITY,S17,"Linear system authority section 12, physical takeoff (no RES-82 E-number label)",—,RECOMPUTED_FROM_INPUTS,This is the physical takeoff time used for H2 and takeoff velocity.
DECISION,EM-03,EVENT_MEASUREMENT_BOUNDARY,Takeoff confirmation.,"TAKEOFF_CONFIRMATION = a later fail-closed confirmation that bilateral geometric clearance exceeds the numerical guard, SYSTEM_COM_vz(TAKEOFF_OCCURRENCE) > 0, no prohibited contact exists, and no legal plantar recontact occurs throughout the genuine-flight dwell",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S17,"Linear system authority section 12, takeoff occurrence/confirmation split",dwell and clearance guard sensitivity required downstream,RECOMPUTED_FROM_INPUTS,"If confirmation fails the candidate takeoff occurrence is rejected, never shifted."
DECISION,EM-04,EVENT_MEASUREMENT_BOUNDARY,Confirmation must not shift the takeoff timestamp.,TAKEOFF_CONFIRMATION must never replace TAKEOFF_OCCURRENCE as the H2 time origin,—,PHYSICS_IDENTITY,—,mission freeze item 10; system authority section 13,—,RECOMPUTED_FROM_INPUTS,Prevents a delayed-clearance threshold from artificially lowering H2.
DECISION,EM-05,EVENT_MEASUREMENT_BOUNDARY,Primary jump-height metric.,H2 = SYSTEM_COM_z(apex) - SYSTEM_COM_z(TAKEOFF_OCCURRENCE),m,PHYSICS_IDENTITY,—,direct last-legal-contact-loss to apex displacement,—,RECOMPUTED_FROM_INPUTS,Mandatory cross-checks: H_ballistic = vz_takeoff^2 / (2g); H_impulse from total vertical impulse / 99 kg.
DECISION,EM-06,EVENT_MEASUREMENT_BOUNDARY,Genuine flight dwell.,"starting from the candidate TAKEOFF_OCCURRENCE, zero legal plantar contacts must persist for at least 0.050 s; within the confirmation window both feet establish positive clearance above the numerical guard and no prohibited contact occurs",s,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S17,"Linear system authority section 12, genuine flight",dwell sensitivity (e.g. 0.030/0.050/0.080 s) required downstream,RECOMPUTED_FROM_INPUTS,"The 50 ms dwell is an engineering debounce, not a measured human constant."
DECISION,EM-07,EVENT_MEASUREMENT_BOUNDARY,Clearance guard.,"clearance guard = max(2 mm, contact_margin + verified numerical penetration/error allowance); exact evaluated value sealed by RES-84",m,DEFERRED_TO_LATER_AUTHORITY,S22,system authority section 12,RES-84 seals exact value; guard participates in confirmation only,RECOMPUTED_FROM_INPUTS,"The clearance guard is a confirmation tolerance, not the definition of the takeoff instant."
DECISION,EM-08,EVENT_MEASUREMENT_BOUNDARY,Apex definition.,"inside genuine flight, SYSTEM_COM_vz crosses positive -> nonpositive; compute the zero crossing by interpolation; no arbitrary apex dwell",—,PHYSICS_IDENTITY,—,"Linear system authority section 12, apex",—,RECOMPUTED_FROM_INPUTS,
DECISION,EM-09,EVENT_MEASUREMENT_BOUNDARY,Touchdown definition.,first renewed valid plantar-floor contact after genuine flight; toe/forefoot-first is valid; body/bar-floor contact is not,—,PHYSICS_IDENTITY,S15,"Linear system authority section 12, physical touchdown",—,RECOMPUTED_FROM_INPUTS,"Landing absorption must be realized by the calibrated contact model and human joint motion, not a hidden vertical clamp."
DECISION,EM-10,EVENT_MEASUREMENT_BOUNDARY,Measurement takeoff comparator.,bilateral per-foot vertical GRF threshold 10 N with 0.010 s persistence (the RES-82 F_thr convention; an equivalent total-GRF display may be reported) is comparator/diagnostic only and never defines the simulated physical event,N / s,LITERATURE_INFORMED_SYNTHETIC,S17,takeoff-threshold comparison study; RES-82 EVENT_CONTRACT F_thr,comparator threshold sensitivity is a reporting obligation,RECOMPUTED_FROM_INPUTS,
DECISION,EM-11,EVENT_MEASUREMENT_BOUNDARY,Force-plate comparison export.,resampled at >=1000 Hz (1000 Hz canonical) with a documented anti-aliasing/filter path; raw native signals retained for independent recomputation,Hz,LITERATURE_INFORMED_SYNTHETIC,S11,force-platform processing literature,processing sensitivity is a reporting obligation,RECOMPUTED_FROM_INPUTS,Native simulator states/contacts remain event authority.
DECISION,EM-12,EVENT_MEASUREMENT_BOUNDARY,Event chain and dwell semantics (with explicit takeoff supersession).,"{""retained_from_RES82"": ""E1-E12 chain, PHYSICAL_TIME dwell convention, negative controls, cross-event independence"", ""superseded_for_successor"": ""the clearance-gated historical takeoff anchor; for the successor the H2 time origin is TAKEOFF_OCCURRENCE (final legal plantar contact loss), and clearance/dwell survive only as TAKEOFF_CONFIRMATION"", ""label_rule"": ""RES-95 does not use RES-82 E-number labels for takeoff/flight/apex/touchdown so downstream readers cannot collide the two numbering systems""}",—,LITERATURE_INFORMED_SYNTHETIC,S22,RES-82 EVENT_CONTRACT_E1_E12.json; DWELL_SEMANTICS.json; Linear system authority section 12,downstream sensitivity execution owned by later RES,RECOMPUTED_FROM_INPUTS,This supersession is explicit so zero unresolved conflict remains between RES-82 labels and the controlling Linear takeoff semantics.
DECISION,EM-13,EVENT_MEASUREMENT_BOUNDARY,No clearance-defined delayed H2 takeoff.,the H2 time origin is the last legal plantar contact loss; a later clearance-defined sample must never become the H2 origin,—,PHYSICS_IDENTITY,—,mission freeze item 10,—,RECOMPUTED_FROM_INPUTS,This closes the historical delayed-takeoff defect class.
DECISION,PA-01,PERFORMANCE_AUTHORITY_BOUNDARY,Anti-triviality floor.,"{""H_ANTI_TRIVIALITY_FLOOR_M"": 0.15, ""meaning"": ""negative-control / trivial-hop rejection only; necessary but NOT sufficient for elite-context qualification""}",m,LITERATURE_INFORMED_SYNTHETIC,S13,RES-82 PF-1 candidate; mixed-athlete +20 kg evidence,—,RECOMPUTED_FROM_INPUTS,Retained as the only frozen numeric height gate.
DECISION,PA-02,PERFORMANCE_AUTHORITY_BOUNDARY,Elite +20 kg direct H2 target.,"{""ELITE_SOCCER_PLUS20_DIRECT_H2_TARGET"": ""NOT_FROZEN"", ""ELITE_SOCCER_PLUS20_DIRECT_H2_HARD_GATE"": ""DEFERRED_PENDING_METHOD_MATCHED_MAPPING"", ""H_ANTI_TRIVIALITY_FLOOR_M"": 0.15}",—,DEFERRED_TO_LATER_AUTHORITY,S07;S11;S12;S13,"method heterogeneity across unloaded impulse-momentum, +20 kg flight-time and +20 kg LVT studies",RES-85/91 must produce the mapping before any hard gate,RECOMPUTED_FROM_INPUTS,No fabricated conversion when uncertainty cannot be bounded.
DECISION,PA-03,PERFORMANCE_AUTHORITY_BOUNDARY,"Withdrawn performance authority (superseded, not current).","{""0.200 m elite-context target"": ""WITHDRAWN as qualification authority; remains at most a non-authoritative historical notation"", ""0.280-0.400 m expected band"": ""WITHDRAWN"", ""0.350 m nominal target"": ""WITHDRAWN""}",m,DEFERRED_TO_LATER_AUTHORITY,S07;S11;S12;S13;S14,adversarial correction recorded in the Linear system authority,—,RECOMPUTED_FROM_INPUTS,These values must not reappear as current authority in any downstream artifact.
DECISION,PA-04,PERFORMANCE_AUTHORITY_BOUNDARY,Mandatory method-matched comparator analysis.,"{""methods_to_compare"": [""direct SYSTEM_COM takeoff->apex"", ""impulse-momentum"", ""takeoff-velocity"", ""flight-time"", ""bar/LVT displacement""], ""requirement"": ""RES-85/91 predeclare the mapping before any elite-performance hard gate is created""}",—,DEFERRED_TO_LATER_AUTHORITY,S07;S11;S12,system authority section 13,owned by RES-85/RES-91,RECOMPUTED_FROM_INPUTS,"Results far below comparator evidence trigger scientific review, not automatic failure."
DECISION,PA-05,PERFORMANCE_AUTHORITY_BOUNDARY,Controller objective.,"maximize physically valid direct SYSTEM_COM takeoff->apex H2 subject to the frozen human actuation, energy/work, joint-limit, contact, landing and recovery constraints",—,LITERATURE_INFORMED_SYNTHETIC,S16;S22,system authority section 13,—,RECOMPUTED_FROM_INPUTS,Not tune to a fabricated height target.
DECISION,PA-06,PERFORMANCE_AUTHORITY_BOUNDARY,Report-only comparators.,"[""countermovement depth"", ""knee/hip/ankle/MTP ROM"", ""eccentric/braking/propulsive durations"", ""peak and mean GRF normalized to athlete and system mass"", ""joint moments/powers/work"", ""total and joint impulse/work contributions"", ""peak landing force (method-matched pending)""]",—,LITERATURE_INFORMED_SYNTHETIC,S06;S07;S15;S16,system authority sections 13-16,report-only until method-matched data exist,RECOMPUTED_FROM_INPUTS,
DECISION,DF-01,DEFERRED_NUMERICAL_CALIBRATIONS,Contact numerical calibration.,"solref, solimp, margin, gap, torsional-friction and rolling-friction numeric values, penetration tolerance",—,DEFERRED_TO_LATER_AUTHORITY,S22,RES-84 / RES-86,classification and qualification domain frozen in COLLISION_CONTACT_POLICY CC-07..CC-12,RECOMPUTED_FROM_INPUTS,Provisional settings must be labeled PROVISIONAL_NUMERICAL.
DECISION,DF-02,DEFERRED_NUMERICAL_CALIBRATIONS,Takeoff clearance guard exact value.,"max(2 mm, contact_margin + verified numerical/penetration allowance) evaluated and sealed",m,DEFERRED_TO_LATER_AUTHORITY,S22,RES-84,sealed in candidate identity,RECOMPUTED_FROM_INPUTS,Confirmation-only semantics frozen here.
DECISION,DF-03,DEFERRED_NUMERICAL_CALIBRATIONS,MTP active moment limits.,"torque cap, rate limit, power limit and allowed stance-phase action for the reduced net MTP moment",—,DEFERRED_TO_LATER_AUTHORITY,S08;S09,RES-85,must be validated against jump/foot mechanics; saturation telemetry mandatory,RECOMPUTED_FROM_INPUTS,Must not become a hidden high-power toe motor.
DECISION,DF-04,DEFERRED_NUMERICAL_CALIBRATIONS,Major-joint actuator limits.,"hip/knee/ankle/trunk torque caps, torque-rate limits and activation/smoothing constants",—,DEFERRED_TO_LATER_AUTHORITY,S16;S22,RES-85,elite isokinetic data are plausibility bounds only; not direct motor constants,RECOMPUTED_FROM_INPUTS,
DECISION,DF-05,DEFERRED_NUMERICAL_CALIBRATIONS,Balance capture and recovery envelopes.,"E11 capture envelope, E12 robust standing envelope and post-E12 observation window",—,DEFERRED_TO_LATER_AUTHORITY,S22,RES-87 / RES-91,physical and robustness-calibrated; one-trace/ULP envelopes prohibited,RECOMPUTED_FROM_INPUTS,
DECISION,DF-06,DEFERRED_NUMERICAL_CALIBRATIONS,Landing force gate.,peak landing force as a hard +20 kg elite scalar gate,—,DEFERRED_TO_LATER_AUTHORITY,S15,later method-matched authority,report/validation comparator until method-matched +20 kg data exist,RECOMPUTED_FROM_INPUTS,No numeric transfer from drop-landing or unloaded studies.
DECISION,DF-07,DEFERRED_NUMERICAL_CALIBRATIONS,Elite +20 kg H2 mapping.,method-matched comparator/mapping analysis before any elite hard gate,—,DEFERRED_TO_LATER_AUTHORITY,S07;S11;S12,RES-85 / RES-91,required before gate authorization,RECOMPUTED_FROM_INPUTS,See PA-02/PA-04.
DECISION,DF-08,DEFERRED_NUMERICAL_CALIBRATIONS,Solver and timestep verification.,"timestep refinement, solver iteration/tolerance sensitivity, contact compliance sweep, friction sweep, MTP passive sweep, midfoot alternative, placement/pose/anthropometry/initial-pose perturbations, deterministic repeatability",—,DEFERRED_TO_LATER_AUTHORITY,S22,RES-86 / RES-89 / RES-91,"each sensitivity run records event ordering, H2, takeoff velocity, GRF, joint-limit margins, prohibited contacts, saturation, landing capture, final standing",RECOMPUTED_FROM_INPUTS,Execution of the frozen sensitivity sets is a downstream obligation; omission is a qualification defect.
DECISION,DF-09,DEFERRED_NUMERICAL_CALIBRATIONS,Controller phase machine and calibration.,"state-causal hybrid phase machine, transition hysteresis/persistence and command continuity",—,DEFERRED_TO_LATER_AUTHORITY,S22,RES-85,no wall-clock-only transitions; no instantaneous torque cliffs,RECOMPUTED_FROM_INPUTS,
DECISION,DF-10,DEFERRED_NUMERICAL_CALIBRATIONS,Bar placement versus RES-83 collision shells.,post-implementation non-penetration confirmation in standing and all representative poses; any nominal placement change requires an authority amendment,—,DEFERRED_TO_LATER_AUTHORITY,S04;S22,RES-83 + this authority,report-level confirmation; nominal frozen in UB-07,RECOMPUTED_FROM_INPUTS,No silent nominal movement.
DECISION,DF-11,DEFERRED_NUMERICAL_CALIBRATIONS,Stance/lateral validation.,true stance width and lateral balance authority,—,DEFERRED_TO_LATER_AUTHORITY,S22,future 3-D/6-DOF Plant program,outside V1 claim,RECOMPUTED_FROM_INPUTS,0.170 m remains a model geometry nominal only.
DECISION,DF-12,DEFERRED_NUMERICAL_CALIBRATIONS,Candidate authorization and qualification.,"successor candidate creation, provenance/determinism/test/visual qualification",—,DEFERRED_TO_LATER_AUTHORITY,S22,RES-90 / RES-91 / RES-92 / RES-93,RES-95 creates no candidate,RECOMPUTED_FROM_INPUTS,
